ID,BLOCK,TREAT,Genotypes,GENOTYPE,Experiment,EMR.7DAP,EMR.9DAP,EMR.12DAP,NSTM.14DAP,HGT.16DAP,NLEAF.28DAP,NSTM.28DAP,HGT.28DAP,VGR.28DAP,DSTM.28DAP,SPAD.29DAP,HGT.41DAP,VGR.41DAP,NLEAF.41DAP,NSTM.41DAP,DSTM.42DAP,HGT.54DAP,SPAD.59DAP,HGT.70DAP,VGR.75DAP,STRS.75DAP,SPAD.76DAP,DSTEM.76DAP,STRS.83DAP,PRCT.83DAP,SPAD.83DAP,DSTM.84DAP,RWC.84DAP,DRWC,OP.84DAP,HGT.86DAP,LEAFFW,LEAFDW,STEMFW,STEMDW,ROOTFW,ROOTDW,TUBFW,TUBDW,NTUB,root:shoot,TUBDM,BIOMFW,BIOMDW,HI,TDWS,TTRNS,WUE,TWUE,TWA,FTSW,LA,LAR,SLA,RLG,ROOTMS,STOLMS
701,I,wellwater,1,CIP720088,LM06092013,1.00,1.00,1.00,1.00,18.00,14.00,1.00,58.00,3.00,0.64,56.40,97.00,3.00,28.00,1.00,6.73,122.00,46.90,126.00,3.00,5.00,42.10,6.60,7.00,9.00,32.90,6.64,79.82,20.16,-2.00,129.00,6.20,2.03,39.48,2.48,9.00,0.49,84.90,12.79,5.00,0.68,15.06,139.58,17.79,0.72,90.93,2.38,7.48,5.38,2.18,0.90,1065,60,525,25,1,1
702,I,drydown,1,CIP720088,LM06092013,0.00,1.00,1.00,3.00,10.00,24.00,3.00,54.00,3.00,0.60,60.30,33.00,3.00,44.00,3.00,5.83,110.00,51.70,113.00,3.00,3.00,34.00,5.38,9.00,9.00,25.10,4.92,63.73,,-1.97,114.00,9.10,3.37,29.20,2.97,8.74,0.65,80.93,11.63,10.00,0.93,14.37,127.97,18.62,0.62,,2.20,8.48,5.30,0.48,0.37,216,12,64,20,3,3
703,II,drydown,1,CIP720088,LM06092013,1.00,1.00,1.00,1.00,15.00,12.00,1.00,54.00,2.00,0.69,65.50,100.00,5.00,21.00,1.00,7.30,130.00,52.50,137.00,5.00,1.00,48.30,7.28,7.00,7.00,45.60,7.24,69.93,,-2.73,138.00,42.59,4.24,57.39,3.70,24.17,1.52,101.60,19.79,8.00,0.81,19.48,225.75,29.25,0.68,,2.53,11.58,7.84,0.46,0.18,1098,38,259,30,3,5
704,II,wellwater,1,CIP720088,LM06092013,1.00,1.00,1.00,1.00,12.00,11.00,1.00,44.00,1.00,0.51,57.70,74.00,1.00,16.00,1.00,4.97,104.00,50.20,120.00,3.00,1.00,47.10,5.37,1.00,5.00,48.20,5.64,75.73,7.66,-2.30,123.00,33.92,2.57,28.61,1.71,6.16,0.38,73.93,11.81,6.00,1.23,15.97,142.62,16.47,0.72,,1.97,8.38,6.01,1.77,0.88,1069,65,416,25,3,1
705,III,wellwater,1,CIP720088,LM06092013,1.00,1.00,1.00,2.00,22.00,21.00,2.00,60.00,3.00,0.60,59.50,99.00,1.00,34.00,2.00,5.90,122.00,46.90,133.00,3.00,3.00,43.70,6.38,3.00,7.00,36.10,5.40,74.15,15.69,-2.23,131.00,50.75,4.00,67.33,4.78,16.18,1.09,249.91,42.67,6.00,0.68,17.07,384.17,52.54,0.81,48.09,5.84,9.00,7.31,5.64,0.84,1607,31,402,25,5,3
707,IV,wellwater,1,CIP720088,LM06092013,1.00,1.00,1.00,1.00,14.00,14.00,1.00,56.00,3.00,0.65,54.00,101.00,5.00,24.00,1.00,7.52,127.00,50.10,142.00,3.00,1.00,49.10,7.09,1.00,5.00,50.70,7.94,69.44,8.34,-2.33,142.00,67.85,5.99,60.80,4.06,19.38,1.21,222.45,35.35,7.00,1.14,15.89,370.48,46.61,0.76,30.41,4.37,10.66,8.08,4.17,0.84,1989,43,332,30,5,3
709,III,drydown,1,CIP720088,LM06092013,1.00,1.00,1.00,2.00,8.00,17.00,2.00,49.00,3.00,0.70,54.00,92.00,5.00,31.00,2.00,6.52,119.00,54.20,124.00,3.00,3.00,50.60,6.45,5.00,7.00,43.70,6.35,62.52,,-2.43,123.00,32.10,3.35,49.45,3.09,21.89,1.39,113.92,20.52,9.00,0.75,18.01,217.36,28.35,0.72,,2.40,11.83,8.56,0.48,0.23,811,29,242,35,5,3
711,IV,drydown,1,CIP720088,LM06092013,1.00,1.00,1.00,1.00,11.00,12.00,1.00,44.00,1.00,0.48,57.50,67.00,1.00,14.00,1.00,4.32,92.00,49.30,98.00,3.00,3.00,48.70,4.38,1.00,5.00,45.20,4.30,63.65,,-2.90,97.00,25.77,2.26,15.02,0.97,7.29,0.42,58.30,10.75,,1.63,18.44,106.38,14.40,0.75,,1.48,9.70,7.24,0.07,0.44,782,54,346,20,3,1
713,V,wellwater,1,CIP720088,LM06092013,1.00,1.00,1.00,1.00,11.00,13.00,1.00,50.00,3.00,0.65,60.80,91.00,3.00,20.00,1.00,6.41,110.00,49.20,144.00,3.00,3.00,42.30,6.39,3.00,7.00,38.70,6.90,66.63,-19.57,-2.20,118.00,35.95,2.36,18.70,1.71,11.82,0.66,92.15,13.48,7.00,1.00,14.63,158.62,18.21,0.74,109.72,2.30,7.93,5.87,2.10,0.89,1140,63,483,20,1,3
714,V,drydown,1,CIP720088,LM06092013,0.00,1.00,1.00,2.00,9.00,20.00,2.00,44.00,3.00,0.58,62.40,78.00,1.00,29.00,2.00,5.64,105.00,50.80,114.00,3.00,3.00,38.30,5.62,7.00,9.00,23.50,5.72,79.66,,-2.97,116.00,17.08,4.02,23.05,2.71,6.58,0.43,108.61,14.79,8.00,1.28,13.62,155.32,21.95,0.67,,2.21,9.92,,0.36,0.28,496,23,123,28,5,7
